median_income,percent_college,percent_lunch,percent_married,rate_unemployment,school_level,school_type,state,year,zip_code,average_act
34572.0,0.381133873272987,0.544117647058823,0.718048780487805,0.0704676489429853,High,Regular School,OH,2016-2017,45682,21.0
22929.0,0.482315112540193,0.158870967741935,0.134930643127364,0.145772594752187,High,Regular School,LA,2016-2017,71101,25.6
33382.0,0.523036988968202,0.491160645657187,0.56514657980456,0.235618597320725,High,Regular School,MI,2016-2017,48708,18.1
99593.0,0.655106433867496,0.45750184774575,0.727594339622642,0.0440464666021297,High,Regular School,TX,2016-2017,77084,20.4945054945055
43917.0,0.509034817100044,0.331521739130435,0.585727525486562,0.0701581027667984,High,Regular School,LA,2016-2017,71403,22.7
26268.0,0.467751141552511,0.769561815336463,0.316498316498317,0.177413733008017,High,Regular School,PA,2016-2017,18104,18.1013431013431
42028.0,0.600267976775346,0.514472965592572,0.493589743589744,0.0252918287937743,High,Regular School,TN,2016-2017,37086,17.4
43585.0,0.577836411609499,0.438380281690141,0.509819324430479,0.0649304316803425,High,Regular School,MO,2016-2017,65065,23.2
47333.0,0.495735072754641,0.996640537513998,0.496042216358839,0.0833859759949463,High,Regular School,NY,2016-2017,11368,16.9047619047619
47607.0,0.597374179431072,0.618002195389682,0.681967213114754,0.145847400405132,High,Regular School,TX,2016-2017,77088,18.8827838827839
33042.0,0.353623188405797,0.54083885209713,0.487320837927233,0.133248730964467,High,Regular School,OH,2016-2017,44030,20.0
55087.0,0.658587257617729,0.315338474721508,0.736332179930796,0.16403785488959,High,Regular School,TN,2016-2017,37040,18.6
174844.0,0.908801696712619,0.0696378830083565,0.970178926441352,0.0641975308641975,High,Regular School,NJ,2016-2017,7748,23.4737484737485
73531.0,0.654661864745898,0.102493074792244,0.764705882352941,0.0682505399568035,High,Regular School,NJ,2016-2017,8742,22.2527472527473
27778.0,0.311854103343465,0.434108527131783,0.763693270735524,0.142608695652174,High,Regular School,TN,2016-2017,37841,19.4
23674.0,0.356813417190776,0.850710900473934,0.410511363636364,0.185492801771872,High,Regular School,NY,2016-2017,10456,16.2454212454212
35225.0,0.33232856066315,0.669540229885057,0.77037037037037,0.210118505013674,High,Regular School,GA,2016-2017,30222,16.2454212454212
65721.0,0.645190156599553,0.1875,0.633578431372549,0.142222222222222,High,Regular School,NJ,2016-2017,8060,22.1062271062271
23036.0,0.321453529000699,0.842622950819672,0.403598971722365,0.0101010101010101,High,Regular School,NY,2016-2017,10002,16.2698412698413
61711.0,0.614443084455324,0.0571054925893636,0.443076923076923,0.0754716981132075,High,Regular School,NJ,2016-2017,7727,22.032967032967
29948.0,0.496370235934664,0.0102564102564103,0.26530612244898,0.11077191452246,High,Regular School,TX,2016-2017,75029,23.4737484737485
61905.0,0.606899682251475,0.717948717948718,0.695974576271186,0.0464675201517307,High,Regular School,WA,2016-2017,98118,15.0732600732601
53333.0,0.535779816513761,0.542857142857143,0.493827160493827,0.109452736318408,High,Regular School,NY,2016-2017,11416,20.030525030525
45458.0,0.611013473930873,0.777606177606178,0.415343915343915,0.12640099626401,High,Regular School,MA,2016-2017,1604,16.025641025641
57620.0,0.587308439456076,0.335384615384615,0.74633653360283,0.0549479166666667,High,Regular School,MA,2016-2017,1475,21.6178266178266
65272.0,0.536286522148916,0.168316831683168,0.863736263736264,0.0767927724449464,High,Regular School,IL,2016-2017,60941,21.0
81528.0,0.636579572446556,0.105714285714286,0.782705099778271,0.121664050235479,High,Regular School,IL,2016-2017,60109,22.9
50511.0,0.730097765363129,0.302315024965956,0.665347654041831,0.132658227848101,High,Regular School,TX,2016-2017,76522,20.1526251526252
102500.0,0.775397796817625,0.0827482447342026,0.722453841572364,0.0417508417508418,High,Regular School,MO,2016-2017,63304,23.1
70058.0,0.579789894947474,0.327868852459016,0.779541446208113,0.0747540983606557,High,Regular School,TX,2016-2017,76044,20.2503052503052
38818.0,0.367206338270754,0.462765957446808,0.713153724247227,0.141767068273092,High,Regular School,IL,2016-2017,60942,18.2
46393.0,0.638312351139844,0.220472440944882,0.571589627959414,0.0710144927536232,High,Regular School,WI,2016-2017,54235,24.0
82326.0,0.778696051423324,0.120398773006135,0.757446808510638,0.0409683426443203,High,Regular School,MA,2016-2017,2050,22.4236874236874
41822.0,0.41504854368932,0.48578811369509,0.72434456928839,0.100997506234414,High,Regular School,NC,2016-2017,27807,20.1770451770452
9435.0,0.379093198992443,0.991758241758242,0.16711590296496,0.340753424657534,High,Regular School,OH,2016-2017,44115,15.0
55786.0,0.378020975832193,0.0,0.889540566959922,0.0635344367325147,High,Regular School,OH,2016-2017,44402,22.0
45000.0,0.643686502177068,0.507645259938838,0.341736694677871,0.0988074957410562,High,Regular School,OH,2016-2017,45240,19.0
47857.0,0.691005291005291,0.631104788999526,0.807692307692308,0.0646341463414634,High,Regular School,NC,2016-2017,28358,18.5409035409035
31454.0,0.543689320388349,0.505112474437628,0.532945736434108,0.276747503566334,High,Regular School,WA,2016-2017,98550,20.8119658119658
47723.0,0.413179413179413,0.0,0.715953307392996,0.0972581479565442,High,Regular School,OH,2016-2017,44851,21.0
60278.0,0.793327556325823,0.358425414364641,0.806983511154219,0.0768491834774256,High,Regular School,NC,2016-2017,27265,21.5934065934066
47026.0,0.626820908311911,0.361038961038961,0.752008032128514,0.0631424375917768,High,Regular School,WI,2016-2017,54801,22.1
29950.0,0.468884120171674,0.501210653753027,0.566244239631336,0.107777339123569,High,Regular School,GA,2016-2017,30728,22.1306471306471
121005.0,0.891079349433218,0.107468123861566,0.893977103036336,0.0415704387990762,High,Regular School,MA,2016-2017,1545,24.5238095238095
